Product_ID,ProductDescription,CategoryName,CategoryCode
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7F0122,CHQ SAIP .183 C1018,C.H.Q. WIRE,7F
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7F0437,CHQ SAIP .295  7.5MM C4135,C.H.Q. WIRE,7F
7F0445,CHQ SAIP .275  C4135,C.H.Q. WIRE,7F
7F0125,CHQ SAIP .262 C1018,C.H.Q. WIRE,7F
7F0437,CHQ SAIP .295  7.5MM C4135,C.H.Q. WIRE,7F
7F0467,CHQ SAIP .163 1018,C.H.Q. WIRE,7F
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7B1000,CLEANING SERVICES,MISC WIRE SERVICES,7B
7F0437,CHQ SAIP .295  7.5MM C4135,C.H.Q. WIRE,7F
7F0445,CHQ SAIP .275  C4135,C.H.Q. WIRE,7F
7B1000,CLEANING SERVICES,MISC WIRE SERVICES,7B
7B1000,CLEANING SERVICES,MISC WIRE SERVICES,7B
7CS128,STRAP GALV SECONDARY .128,SECONDARY WIRE,7C
7CS135,STRAP GALV SECONDARY .135,SECONDARY WIRE,7C
7B1000,CLEANING SERVICES,MISC WIRE SERVICES,7B
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7CS115,STRAP GALV SECONDARY .115,SECONDARY WIRE,7C
7CS120,STRAP GALV SECONDARY .120,SECONDARY WIRE,7C
7CS120,STRAP GALV SECONDARY .120,SECONDARY WIRE,7C
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7C3999,L.C. BRT SECONDARY .150-.199 T,SECONDARY WIRE,7C
7CS120,STRAP GALV SECONDARY .120,SECONDARY WIRE,7C
7CS128,STRAP GALV SECONDARY .128,SECONDARY WIRE,7C
7C3999,L.C. BRT SECONDARY .150-.199 T,SECONDARY WIRE,7C
7CS120,STRAP GALV SECONDARY .120,SECONDARY WIRE,7C
7CS128,STRAP GALV SECONDARY .128,SECONDARY WIRE,7C
7C3999,L.C. BRT SECONDARY .150-.199 T,SECONDARY WIRE,7C
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7C3999,L.C. BRT SECONDARY .150-.199 T,SECONDARY WIRE,7C
7CS128,STRAP GALV SECONDARY .128,SECONDARY WIRE,7C
7CS135,STRAP GALV SECONDARY .135,SECONDARY WIRE,7C
7C3998,L.C. BRT SECONDARY .250-.299 T,SECONDARY WIRE,7C
7C3999,L.C. BRT SECONDARY .150-.199 T,SECONDARY WIRE,7C
7C2998,H.C. BRT SEC .200-.249 TALL,SECONDARY WIRE,7C
7CS120,STRAP GALV SECONDARY .120,SECONDARY WIRE,7C
7CS128,STRAP GALV SECONDARY .128,SECONDARY WIRE,7C
7CS135,STRAP GALV SECONDARY .135,SECONDARY WIRE,7C
7F0122,CHQ SAIP .183 C1018,C.H.Q. WIRE,7F
7F0125,CHQ SAIP .262 C1018,C.H.Q. WIRE,7F
7F0452,CHQ SAIP .223  C1018,C.H.Q. WIRE,7F
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
7F0006,CHQ SAFS .315,C.H.Q. WIRE,7F
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
,Bad data here,Test,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0070,STRAP GALV .080  14 GA HT,HIGH CARBON GALVANIZED WIRE,8Z
8Z0150,STRAP GALV .082  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0051,STRAP GALV .0915 13 GA ULTRA,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0051,STRAP GALV .0915 13 GA ULTRA,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0149,STRAP GALV .092  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0051,STRAP GALV .0915 13 GA ULTRA,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0149,STRAP GALV .092  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0149,STRAP GALV .092  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0151,STRAP GALV .089  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0151,STRAP GALV .089  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0149,STRAP GALV .092  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0151,STRAP GALV .089  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0088,STRAP GALV .092,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0149,STRAP GALV .092  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0051,STRAP GALV .0915 13 GA ULTRA,HIGH CARBON GALVANIZED WIRE,8Z
8Z0148,STRAP GALV .086  OVAL,HIGH CARBON GALVANIZED WIRE,8Z
8Z0051,STRAP GALV .0915 13 GA ULTRA,HIGH CARBON GALVANIZED WIRE,8Z
